Date,Open,High,Low,Close,Adj Close,Volume
8/29/2014,9,9.07,8.9,9,8.330379,625100
9/1/2014,8.99,9,8.88,8.97,8.302611,200800
9/2/2014,9.05,9.1,8.91,9.03,8.358149,473700
9/3/2014,9.08,9.3,9.04,9.14,8.459964,871600
9/4/2014,9.21,9.37,9.08,9.09,8.413683,564900
9/5/2014,9.2,9.21,8.65,8.9,8.23782,1652000
9/8/2014,8.9,8.94,8.69,8.7,8.052701,519400
9/9/2014,8.71,8.71,8.35,8.4,7.775021,1232000
9/10/2014,8.38,8.44,7.97,8.15,7.543622,896200
9/11/2014,8.2,8.32,8,8.25,7.636182,1048900
9/12/2014,8.27,8.28,8,8.2,7.589901,747500
9/15/2014,8.3,8.47,8.16,8.39,7.765766,1085500
9/16/2014,8.46,8.91,8.43,8.68,8.034189,797300
9/17/2014,8.81,8.81,8.47,8.5,7.867581,456800
9/18/2014,8.5,8.7,8.4,8.56,7.923118,616100
9/19/2014,8.41,8.7,8.41,8.66,8.015676,333900
9/22/2014,8.54,8.65,8.25,8.25,7.636182,621600
9/23/2014,8.28,8.36,8.11,8.2,7.589901,681700
9/24/2014,8.11,8.26,8.03,8.17,7.562133,1395400
9/25/2014,8.18,8.32,7.92,8,7.404782,1166800
9/26/2014,8,8.14,7.93,7.97,7.377014,393900
9/29/2014,7.9,7.92,7.31,7.31,6.766119,1198500
9/30/2014,7.36,7.58,7.17,7.58,7.016031,1994700
10/1/2014,7.55,7.68,7.36,7.63,7.062311,1025600
10/2/2014,7.63,8.12,7.62,7.91,7.321478,734400
10/3/2014,7.91,8.01,7.81,7.83,7.24743,901200
10/6/2014,8.1,8.4,8.02,8.22,7.608414,520400
10/7/2014,8.24,8.3,8.11,8.3,7.682461,878700
10/8/2014,8.23,8.5,8,8.4,7.775021,1362100
10/9/2014,8.55,8.65,8.21,8.65,8.006421,696200
10/10/2014,8.13,8.13,8.13,8.13,7.52511,658800
10/13/2014,8.32,8.45,8.02,8.03,7.43255,679900
10/14/2014,8.14,8.2,8.06,8.13,7.52511,409400
10/15/2014,8.18,8.25,7.93,8.16,7.552878,765000
10/16/2014,8.02,8.17,7.88,7.97,7.377014,1262100
10/17/2014,8,8.07,7.83,7.87,7.284454,705500
10/20/2014,7.91,7.92,7.7,7.76,7.182639,750600
10/21/2014,7.59,7.59,7.59,7.59,7.025287,911700
10/22/2014,7.58,7.7,7.54,7.69,7.117847,722800
10/23/2014,7.65,7.7,7.1,7.1,6.571744,1180200
10/24/2014,7.15,7.43,7.13,7.37,6.821656,352400
10/27/2014,6.4,7.42,6.4,7.37,6.821656,256600
10/28/2014,7.7,7.7,7.45,7.69,7.117847,273300
10/29/2014,7.67,7.73,7.6,7.61,7.043799,199100
10/30/2014,7.69,8,7.46,7.89,7.302967,505400
10/31/2014,8.3,8.6,8.25,8.25,7.636182,1452300
11/3/2014,8.4,8.79,8.39,8.6,7.960141,1025500
11/4/2014,8.63,8.75,8.54,8.57,7.932373,738700
11/5/2014,8.55,8.7,8.4,8.69,8.043444,462300
11/6/2014,8.51,8.68,8.39,8.51,7.876838,667600
11/7/2014,8.43,8.6,8.26,8.59,7.950885,777100
11/10/2014,8.58,8.64,8.33,8.45,7.821301,656400
11/11/2014,8.5,8.5,8.16,8.28,7.663949,606400
11/12/2014,8.25,8.31,8,8.01,7.414039,588700
11/13/2014,8.03,8.06,7.75,7.9,7.312222,382100
11/14/2014,7.79,8.08,7.65,7.88,7.293711,873300
11/17/2014,7.78,7.94,7.69,7.77,7.191895,367900
11/18/2014,7.78,8.07,7.68,8.05,7.451062,518400
11/19/2014,8.05,8.33,8.04,8.3,7.682461,619200
11/21/2014,8.24,8.52,8.11,8.3,7.682461,633300
11/24/2014,8.29,8.67,8.29,8.53,7.895349,533900
11/25/2014,8.64,8.66,8.15,8.15,7.543622,839800
11/26/2014,8.19,8.27,8.07,8.12,7.515854,365800
11/27/2014,8.17,8.24,8.06,8.18,7.57139,333300
11/28/2014,8.12,8.18,7.85,7.95,7.358502,709000
12/1/2014,7.99,8.01,7.77,7.77,7.191895,3057170
12/2/2014,7.91,8.03,7.81,8,7.404782,3409513
12/3/2014,8.06,8.19,7.87,8.1,7.497342,896500
12/4/2014,8.18,8.18,7.73,7.79,7.210407,798500
12/5/2014,7.83,7.95,7.78,7.85,7.265943,252700
12/8/2014,7.87,7.89,7.51,7.56,6.997519,252800
12/9/2014,7.55,7.68,7.55,7.65,7.080823,63000
12/10/2014,7.69,7.96,7.61,7.72,7.145615,344700
12/11/2014,7.76,7.76,7.64,7.64,7.071567,355600
12/12/2014,7.62,7.62,7.2,7.2,6.664304,403000
12/15/2014,7.27,7.34,7.08,7.14,6.608768,317200
12/16/2014,7.11,7.34,7.06,7.27,6.729096,446000
12/17/2014,7.32,7.5,7.17,7.4,6.849423,634600
12/18/2014,7.45,7.57,7.31,7.4,6.849423,210500
12/19/2014,7.5,7.71,7.43,7.6,7.034543,241900
12/22/2014,7.65,7.8,7.45,7.65,7.080823,334800
12/23/2014,7.73,7.86,7.54,7.56,6.997519,318200
12/26/2014,7.53,7.83,7.53,7.59,7.025287,346900
12/29/2014,7.58,7.74,7.54,7.73,7.154871,145300
12/30/2014,7.72,7.95,7.71,7.71,7.136359,310000
1/2/2015,7.8,7.8,7.41,7.45,6.895703,197600
1/5/2015,7.54,7.7,7.35,7.59,7.025287,322700
1/6/2015,7.63,7.63,7.46,7.49,6.932727,392900
1/7/2015,7.6,7.75,7.51,7.74,7.164127,201700
1/8/2015,7.66,7.75,7.6,7.68,7.108591,262300
1/9/2015,7.64,7.76,7.3,7.42,6.867936,469600
1/12/2015,7.43,7.59,7.39,7.5,6.941983,196600
1/13/2015,7.53,7.61,7.42,7.42,6.867936,150400
1/14/2015,7.42,7.46,7.27,7.3,6.756864,333400
1/15/2015,7.27,7.38,7.2,7.28,6.811289,231700
